1位	  6,132,040pt
2位	  4,874,952pt
3位	  4,480,696pt
9位	  2,500,015pt
10位	  2,383,710pt
11位	  2,281,572pt
19位	  1,880,425pt
20位	  1,807,555pt
21位	  1,803,670pt
29位	  1,637,493pt
30位	  1,617,090pt
149位	  494,873pt
150位	  494,652pt
499位	  219,774pt
500位	  219,101pt
999位	  134,505pt
1000位	  134,480pt
1999位	  81,570pt
2000位	  81,550pt
2999位	  61,035pt
3000位	  61,025pt
4999位	  39,020pt
4999位	  39,020pt
5000位	39020pt(同順位補正)
7990位	  21,535pt
7999位	  21,490pt
8000位	  21,470pt
2021/03/10 00:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-10T00:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
