1位	  1,629,387,760pt
2位	  1,408,575,000pt
3位	  854,504,934pt
9位	  458,280,786pt
10位	  425,691,745pt
11位	  400,308,422pt
19位	  280,476,206pt
20位	  266,321,142pt
99位	  96,235,474pt
100位	  93,919,632pt
499位	  20,339,474pt
500位	  20,336,486pt
999位	  11,132,054pt
1000位	  11,100,369pt
1999位	  4,807,851pt
2000位	  4,807,840pt
2999位	  2,375,594pt
3000位	  2,374,396pt
4999位	  925,058pt
5000位	  924,982pt
9999位	  152,100pt
10000位	  152,088pt
2021/03/03 00:00	興行成績 :  		ISO8601:2021-03-03T00:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
